"project","filename","geometry"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x39y315_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.12270859 28.38171134, -82.02065812 28.38251388, -82.02152438 28.47276682, -82.12366142 28.47196127, -82.12270859 28.38171134))"
"FL_2018PascoCounty_C22","FL_2018PascoCounty_C22/TIFF/USGS_1M_17_x39y316_FL_2018PascoCounty_C22.tif","SRID=4326;POLYGON ((-82.12366142 28.47196127, -82.02152438 28.47276682, -82.02239463 28.56301853, -82.12461865 28.56220997, -82.12366142 28.47196127))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x48y283_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.19900476 25.49703026, -81.09950256 25.49713153, -81.09957712 25.58743568, -81.19915389 25.58733401, -81.19900476 25.49703026))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x48y284_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.19915389 25.58733401, -81.09957712 25.58743568, -81.09965204 25.67773871, -81.19930373 25.67763663, -81.19915389 25.58733401))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x48y285_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.19930373 25.67763663, -81.09965204 25.67773871, -81.09972733 25.76804063, -81.19945429 25.76793814, -81.19930373 25.67763663))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x49y282_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.09942835 25.40682626, -81.00000000 25.40685988, -81.00000000 25.49716528, -81.09950256 25.49713153, -81.09942835 25.40682626))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x49y283_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.09950256 25.49713153, -81.00000000 25.49716528, -81.00000000 25.58746957, -81.09957712 25.58743568, -81.09950256 25.49713153))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x49y284_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.09957712 25.58743568, -81.00000000 25.58746957, -81.00000000 25.67777274, -81.09965204 25.67773871, -81.09957712 25.58743568))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x49y285_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.09965204 25.67773871, -81.00000000 25.67777274, -81.00000000 25.76807480, -81.09972733 25.76804063, -81.09965204 25.67773871))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x49y286_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.09972733 25.76804063, -81.00000000 25.76807480, -81.00000000 25.85837573, -81.09980297 25.85834143, -81.09972733 25.76804063))"
"FL_Everglades_NP_LiDAR_2017_D16","FL_Everglades_NP_LiDAR_2017_D16/TIFF/USGS_1M_17_x50y281_FL_Everglades_NP_LiDAR_2017_D16.tif","SRID=4326;POLYGON ((-81.00000000 25.31655337, -80.90064550 25.31651989, -80.90057165 25.40682626, -81.00000000 25.40685988, -81.00000000 25.31655337))"
